"GEO_ID","NAME","B25001_001M","B25001_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"310M100US38940","Port St. Lucie, FL Metro Area","1260","215170",
"310M100US39020","Portsmouth, OH Micro Area","748","34116",
"310M100US39060","Pottsville, PA Micro Area","833","69316",
"310M100US39100","Poughkeepsie-Newburgh-Middletown, NY Metro Area","1470","255783",
"310M100US39140","Prescott, AZ Metro Area","3041","110471",
"310M100US39300","Providence-New Bedford-Fall River, RI-MA Metro Area","1130","693936",
"310M100US39340","Provo-Orem, UT Metro Area","1164","152452",
"310M100US39380","Pueblo, CO Metro Area","602","69579",
"310M100US39460","Punta Gorda, FL Metro Area","458","100659",
"310M100US39500","Quincy, IL-MO Micro Area","768","34334",
"310M100US39540","Racine, WI Metro Area","627","82209",
"310M100US39580","Raleigh-Cary, NC Metro Area","2345","466896",
"310M100US39660","Rapid City, SD Metro Area","776","56020",
"310M100US39740","Reading, PA Metro Area","1155","164861",
"310M100US39820","Redding, CA Metro Area","1177","77334",
"310M100US39900","Reno-Sparks, NV Metro Area","870","186680",
"310M100US39980","Richmond, IN Micro Area","949","31226",
"310M100US40060","Richmond, VA Metro Area","3977","532520",
"310M100US40080","Richmond-Berea, KY Micro Area","841","42530",
"310M100US40140","Riverside-San Bernardino-Ontario, CA Metro Area","1888","1501257",
"310M100US40220","Roanoke, VA Metro Area","2480","145460",
"310M100US40260","Roanoke Rapids, NC Micro Area","891","37193",
"310M100US40340","Rochester, MN Metro Area","686","78557",
"310M100US40380","Rochester, NY Metro Area","1798","455593",
"310M100US40420","Rockford, IL Metro Area","843","145931",
"310M100US40580","Rocky Mount, NC Metro Area","1060","67146",
"310M100US40660","Rome, GA Metro Area","941","40555",
"310M100US40700","Roseburg, OR Micro Area","573","48942",
"310M100US40740","Roswell, NM Micro Area","1316","26930",
"310M100US40780","Russellville, AR Micro Area","3081","34966",
"310M100US40900","Sacramento--Arden-Arcade--Roseville, CA Metro Area","4610","872146",
"310M100US40980","Saginaw-Saginaw Township North, MI Metro Area","516","86814",
"310M100US41060","St. Cloud, MN Metro Area","1057","78183",
"310M100US41100","St. George, UT Metro Area","373","57859",
"310M100US41140","St. Joseph, MO-KS Metro Area","1402","54113",
"310M100US41180","St. Louis, MO-IL Metro Area","3019","1236146",
"310M100US41420","Salem, OR Metro Area","1287","151392",
"310M100US41500","Salinas, CA Metro Area","1621","139034",
"310M100US41540","Salisbury, MD Metro Area","1373","52579",
"310M100US41580","Salisbury, NC Micro Area","1049","60239",
"310M100US41620","Salt Lake City, UT Metro Area","1485","412145",
"310M100US41660","San Angelo, TX Metro Area","1858","47602",
"310M100US41700","San Antonio-New Braunfels, TX Metro Area","3019","838096",
"310M100US41740","San Diego-Carlsbad-San Marcos, CA Metro Area","5312","1165043",
"310M100US41780","Sandusky, OH Metro Area","227","37831",
"310M100US41860","San Francisco-Oakland-Fremont, CA Metro Area","3679","1742078",
"310M100US41900","San Germ?n-Cabo Rojo, PR Metro Area","1860","72156",
"310M100US41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area","1801","650232",
"310M100US41980","San Juan-Caguas-Guaynabo, PR Metro Area","6124","1066555",
"310M100US42020","San Luis Obispo-Paso Robles, CA Metro Area","1191","117353",
"310M100US42060","Santa Barbara-Santa Maria-Goleta, CA Metro Area","1544","152819",
"310M100US42100","Santa Cruz-Watsonville, CA Metro Area","3942","104444",
"310M100US42140","Santa Fe, NM Metro Area","967","71290",
"310M100US42220","Santa Rosa-Petaluma, CA Metro Area","1238","204595",
"310M100US42340","Savannah, GA Metro Area","3646","151355",
"310M100US42540","Scranton--Wilkes-Barre, PA Metro Area","2821","258635",
