"GEO_ID","NAME","B19013_001M","B19013_001E",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"310M100US29940","Lawrence, KS Metro Area","4051","47263",
"310M100US30020","Lawton, OK Metro Area","3158","43817",
"310M100US30100","Lebanon, NH-VT Micro Area","2426","50134",
"310M100US30140","Lebanon, PA Metro Area","1865","51436",
"310M100US30300","Lewiston, ID-WA Metro Area","3687","39959",
"310M100US30340","Lewiston-Auburn, ME Metro Area","3303","41190",
"310M100US30460","Lexington-Fayette, KY Metro Area","1677","46257",
"310M100US30500","Lexington Park, MD Micro Area","7013","88444",
"310M100US30620","Lima, OH Metro Area","1755","41057",
"310M100US30700","Lincoln, NE Metro Area","1753","50091",
"310M100US30740","Lincolnton, NC Micro Area","3813","42456",
"310M100US30780","Little Rock-North Little Rock-Conway, AR Metro Area","1365","45991",
"310M100US30860","Logan, UT-ID Metro Area","1768","46215",
"310M100US30980","Longview, TX Metro Area","1560","41842",
"310M100US31020","Longview, WA Metro Area","3274","41054",
"310M100US31100","Los Angeles-Long Beach-Santa Ana, CA Metro Area","526","56691",
"310M100US31140","Louisville/Jefferson County, KY-IN Metro Area","1086","44678",
"310M100US31180","Lubbock, TX Metro Area","2147","42126",
"310M100US31260","Lufkin, TX Micro Area","4437","37775",
"310M100US31300","Lumberton, NC Micro Area","3749","29453",
"310M100US31340","Lynchburg, VA Metro Area","1997","41248",
"310M100US31420","Macon, GA Metro Area","3159","37507",
"310M100US31460","Madera-Chowchilla, CA Metro Area","6554","48268",
"310M100US31540","Madison, WI Metro Area","1884","57594",
"310M100US31700","Manchester-Nashua, NH Metro Area","2342","68312",
"310M100US31740","Manhattan, KS Metro Area","2688","46150",
"310M100US31820","Manitowoc, WI Micro Area","3341","47298",
"310M100US31860","Mankato-North Mankato, MN Metro Area","2207","51127",
"310M100US31900","Mansfield, OH Metro Area","1873","41572",
"310M100US31940","Marinette, WI-MI Micro Area","2072","38506",
"310M100US31980","Marion, IN Micro Area","2454","34716",
"310M100US32020","Marion, OH Micro Area","5058","38824",
"310M100US32060","Marion-Herrin, IL Micro Area","2407","43709",
"310M100US32100","Marquette, MI Micro Area","2457","44684",
"310M100US32220","Marshall, TX Micro Area","8729","47801",
"310M100US32270","Marshfield-Wisconsin Rapids, WI Micro Area","3645","43319",
"310M100US32300","Martinsville, VA Micro Area","1664","31492",
"310M100US32420","Mayag?ez, PR Metro Area","1140","15864",
"310M100US32580","McAllen-Edinburg-Mission, TX Metro Area","1709","33732",
"310M100US32740","Meadville, PA Micro Area","2929","38321",
"310M100US32780","Medford, OR Metro Area","2436","40177",
